Date,ts
2013-02-03,226
2013-02-10,141
2013-02-17,222
2013-02-24,257
2013-03-03,216
2013-03-10,263
2013-03-17,222
2013-03-24,157
2013-03-31,263
2013-04-07,168
2013-04-14,130
2013-04-21,222
2013-04-28,276
2013-05-05,274
2013-05-12,285
2013-05-19,258
2013-05-26,271
2013-06-02,303
2013-06-09,250
2013-06-16,301
2013-06-23,290
2013-06-30,310
2013-07-07,239
2013-07-14,188
2013-07-21,255
2013-07-28,311
2013-08-04,292
2013-08-11,312
2013-08-18,333
2013-08-25,326
2013-09-01,303
2013-09-08,313
2013-09-15,279
2013-09-22,192
2013-09-29,201
2013-10-06,228
2013-10-13,216
2013-10-20,205
2013-10-27,204
2013-11-03,207
2013-11-10,216
2013-11-17,228
2013-11-24,242
2013-12-01,204
2013-12-08,203
2013-12-15,231
2013-12-22,195
2013-12-29,204
2014-01-05,203
2014-01-12,161
2014-01-19,202
2014-01-26,214
2014-02-02,93
2014-02-09,85
2014-02-16,91
2014-02-23,88
2014-03-02,234
2014-03-09,221
2014-03-16,234
2014-03-23,220
2014-03-30,245
2014-04-06,230
2014-04-13,227
2014-04-20,197
2014-04-27,231
2014-05-04,218
2014-05-11,217
2014-05-18,221
2014-05-25,214
2014-06-01,175
2014-06-08,123
2014-06-15,121
2014-06-22,126
2014-06-29,124
2014-07-06,134
2014-07-13,129
2014-07-20,130
2014-07-27,132
2014-08-03,134
2014-08-10,129
2014-08-17,142
2014-08-24,127
2014-08-31,136
2014-09-07,128
2014-09-14,129
2014-09-21,140
2014-09-28,132
2014-10-05,127
2014-10-12,140
2014-10-19,141
2014-10-26,137
2014-11-02,143
2014-11-09,147
2014-11-16,158
2014-11-23,144
2014-11-30,151
2014-12-07,156
2014-12-14,156
2014-12-21,148
2014-12-28,148
2015-01-04,139
2015-01-11,157
2015-01-18,138
2015-01-25,134
2015-02-01,157
2015-02-08,155
2015-02-15,145
2015-02-22,153
2015-03-01,160
2015-03-08,159
2015-03-15,173
2015-03-22,173
2015-03-29,186
2015-04-05,189
2015-04-12,194
2015-04-19,202
2015-04-26,186
2015-05-03,185
2015-05-10,199
2015-05-17,195
2015-05-24,193
2015-05-31,189
2015-06-07,184
2015-06-14,181
2015-06-21,171
2015-06-28,163
2015-07-05,210
2015-07-12,196
2015-07-19,182
2015-07-26,183
2015-08-02,196
2015-08-09,196
2015-08-16,193
2015-08-23,209
2015-08-30,221
2015-09-06,202
2015-09-13,201
2015-09-20,196
2015-09-27,219
2015-10-04,198
2015-10-11,210
2015-10-18,211
2015-10-25,244
2015-11-01,232
2015-11-08,206
2015-11-15,205
2015-11-22,176
2015-11-29,181
2015-12-06,197
2015-12-13,203
2015-12-20,196
2015-12-27,225
2016-01-03,275
2016-01-10,210
2016-01-17,258
2016-01-24,228
2016-01-31,248
2016-02-07,242
2016-02-14,238
2016-02-21,230
2016-02-28,264
2016-03-06,219
2016-03-13,249
2016-03-20,239
2016-03-27,226
2016-04-03,254
2016-04-10,232
2016-04-17,264
2016-04-24,225
2016-05-01,244
2016-05-08,241
2016-05-15,233
2016-05-22,216
2016-05-29,198
2016-06-05,220
2016-06-12,236
2016-06-19,199
2016-06-26,241
2016-07-03,282
2016-07-10,271
2016-07-17,258
2016-07-24,218
2016-07-31,236
2016-08-07,262
2016-08-14,271
2016-08-21,261
2016-08-28,259
2016-09-04,245
2016-09-11,221
2016-09-18,244
2016-09-25,273
